p,comp_mean,model
0.1,0.03705728054046631,TinyBERT
0.2,0.026789069175720215,TinyBERT
0.3,0.05387657880783081,TinyBERT
0.4,0.0612984299659729,TinyBERT
0.5,0.49835002422332764,TinyBERT
0.1,0.0008009672164916992,DistilBERT
0.2,0.0052901506423950195,DistilBERT
0.3,0.13999587297439575,DistilBERT
0.4,0.12692636251449585,DistilBERT
0.5,0.09764671325683594,DistilBERT
0.1,0.8865334168076515,ALBERT
0.2,0.8929061368107796,ALBERT
0.3,0.9341273307800293,ALBERT
0.4,0.04857152700424194,ALBERT
0.5,0.038322508335113525,ALBERT
